location,year,pdsi
"AL, Autauga",2000,-2.6391666666666667
"AL, Baldwin",2000,-4.175
"AL, Barbour",2000,-3.0416666666666665
"AL, Bibb",2000,-2.6391666666666667
"AL, Blount",2000,-1.9975
"AL, Bullock",2000,-2.5425
"AL, Butler",2000,-3.0416666666666665
"AL, Calhoun",2000,-2.599166666666666
"AL, Chambers",2000,-2.8075
"AL, Cherokee",2000,-2.599166666666666
"AL, Chilton",2000,-2.6391666666666667
"AL, Choctaw",2000,-3.0416666666666665
"AL, Clarke",2000,-3.0416666666666665
"AL, Clay",2000,-2.8075
"AL, Cleburne",2000,-2.8075
"AL, Coffee",2000,-3.0416666666666665
"AL, Colbert",2000,-2.0458333333333334
"AL, Conecuh",2000,-3.0416666666666665
"AL, Coosa",2000,-2.8075
"AL, Covington",2000,-3.0416666666666665
"AL, Crenshaw",2000,-3.0416666666666665
"AL, Cullman",2000,-1.9975
"AL, Dale",2000,-3.0416666666666665
"AL, Dallas",2000,-2.5425
"AL, De Kalb",2000,-1.9975
"AL, Elmore",2000,-2.8075
"AL, Escambia",2000,-3.0416666666666665
"AL, Etowah",2000,-2.599166666666666
"AL, Fayette",2000,-2.6391666666666667
"AL, Franklin",2000,-2.0458333333333334
"AL, Geneva",2000,-3.0416666666666665
"AL, Greene",2000,-2.5425
"AL, Hale",2000,-2.5425
"AL, Henry",2000,-3.0416666666666665
"AL, Houston",2000,-3.0416666666666665
"AL, Jackson",2000,-1.9975
"AL, Jefferson",2000,-1.9975
"AL, Lamar",2000,-2.6391666666666667
"AL, Lauderdale",2000,-2.0458333333333334
"AL, Lawrence",2000,-2.0458333333333334
"AL, Lee",2000,-2.8075
"AL, Limestone",2000,-2.0458333333333334
"AL, Lowndes",2000,-2.5425
"AL, Macon",2000,-2.5425
"AL, Madison",2000,-2.0458333333333334
"AL, Marengo",2000,-2.5425
"AL, Marion",2000,-2.6391666666666667
"AL, Marshall",2000,-1.9975
"AL, Mobile",2000,-4.132499999999999
"AL, Monroe",2000,-3.0416666666666665
"AL, Montgomery",2000,-2.5425
"AL, Morgan",2000,-2.0458333333333334
"AL, Perry",2000,-2.5425
"AL, Pickens",2000,-2.6391666666666667
"AL, Pike",2000,-3.0416666666666665
"AL, Randolph",2000,-2.8075
"AL, Russell",2000,-3.0416666666666665
"AL, St Clair",2000,-2.599166666666666
"AL, Shelby",2000,-2.599166666666666
"AL, Sumter",2000,-2.5425
"AL, Talladega",2000,-2.599166666666666
"AL, Tallapoosa",2000,-2.8075
"AL, Tuscaloosa",2000,-2.6391666666666667
"AL, Walker",2000,-2.6391666666666667
"AL, Washington",2000,-3.0416666666666665
"AL, Wilcox",2000,-3.0416666666666665
"AL, Winston",2000,-2.6391666666666667
"AZ, Apache",2000,-3.785833333333333
"AZ, Cochise",2000,-2.17
"AZ, Coconino",2000,-3.785833333333333
"AZ, Gila",2000,-3.265833333333333
"AZ, Graham",2000,-2.17
"AZ, Greenlee",2000,-2.17
"AZ, La Paz",2000,-2.285
"AZ, Maricopa",2000,-1.955
"AZ, Mohave",2000,-3.7916666666666665
"AZ, Navajo",2000,-3.785833333333333
"AZ, Pima",2000,-2.17
"AZ, Pinal",2000,-1.955
"AZ, Santa Cruz",2000,-2.17
"AZ, Yavapai",2000,-2.065
"AZ, Yuma",2000,-2.285
"AR, Arkansas",2000,-2.7725000000000004
"AR, Ashley",2000,-2.1141666666666663
"AR, Baxter",2000,-2.115833333333333
"AR, Benton",2000,-0.62
"AR, Boone",2000,-0.62
"AR, Bradley",2000,-1.9358333333333333
"AR, Calhoun",2000,-1.9358333333333333
"AR, Carroll",2000,-0.62
"AR, Chicot",2000,-2.1141666666666663
"AR, Clark",2000,-1.9358333333333333
"AR, Clay",2000,-2.645
"AR, Cleburne",2000,-2.115833333333333
"AR, Cleveland",2000,-1.9358333333333333
"AR, Columbia",2000,-1.9358333333333333
"AR, Conway",2000,-2.1308333333333334
"AR, Craighead",2000,-2.645
"AR, Crawford",2000,-0.9375
"AR, Crittenden",2000,-2.7725000000000004
"AR, Cross",2000,-2.7725000000000004
"AR, Dallas",2000,-1.9358333333333333
"AR, Desha",2000,-2.1141666666666663
"AR, Drew",2000,-2.1141666666666663
"AR, Faulkner",2000,-2.1308333333333334
"AR, Franklin",2000,-0.9375
"AR, Fulton",2000,-2.115833333333333
"AR, Garland",2000,-2.1308333333333334
"AR, Grant",2000,-2.1308333333333334
"AR, Greene",2000,-2.645
"AR, Hempstead",2000,-1.0275
"AR, Hot Spring",2000,-2.1308333333333334
"AR, Howard",2000,-1.0275
"AR, Independence",2000,-2.645
"AR, Izard",2000,-2.115833333333333
"AR, Jackson",2000,-2.645
"AR, Jefferson",2000,-2.1141666666666663
"AR, Johnson",2000,-0.9375
"AR, Lafayette",2000,-1.0275
"AR, Lawrence",2000,-2.645
"AR, Lee",2000,-2.7725000000000004
"AR, Lincoln",2000,-2.1141666666666663
"AR, Little River",2000,-1.0275
"AR, Logan",2000,-0.9375
"AR, Lonoke",2000,-2.7725000000000004
"AR, Madison",2000,-0.62
"AR, Marion",2000,-2.115833333333333
"AR, Miller",2000,-1.0275
"AR, Mississippi",2000,-2.645
"AR, Monroe",2000,-2.7725000000000004
"AR, Montgomery",2000,-1.0275
"AR, Nevada",2000,-1.9358333333333333
"AR, Newton",2000,-0.62
"AR, Ouachita",2000,-1.9358333333333333
"AR, Perry",2000,-2.1308333333333334
"AR, Phillips",2000,-2.7725000000000004
"AR, Pike",2000,-1.0275
"AR, Poinsett",2000,-2.645
"AR, Polk",2000,-0.9375
"AR, Pope",2000,-0.9375
"AR, Prairie",2000,-2.7725000000000004
"AR, Pulaski",2000,-2.1308333333333334
"AR, Randolph",2000,-2.645
"AR, St Francis",2000,-2.7725000000000004
"AR, Saline",2000,-2.1308333333333334
"AR, Scott",2000,-0.9375
"AR, Searcy",2000,-2.115833333333333
"AR, Sebastian",2000,-0.9375
"AR, Sevier",2000,-1.0275
"AR, Sharp",2000,-2.115833333333333
"AR, Stone",2000,-2.115833333333333
"AR, Union",2000,-1.9358333333333333
"AR, Van Buren",2000,-2.115833333333333
"AR, Washington",2000,-0.62
"AR, White",2000,-2.645
"AR, Woodruff",2000,-2.7725000000000004
"AR, Yell",2000,-0.9375
"CA, Alameda",2000,0.7058333333333332
"CA, Alpine",2000,-1.0691666666666666
"CA, Amador",2000,0.0925
"CA, Butte",2000,-0.0599999999999999
"CA, Calaveras",2000,0.0983333333333333
"CA, Colusa",2000,-0.0599999999999999
"CA, Contra Costa",2000,0.5116666666666667
"CA, Del Norte",2000,-0.43
"CA, El Dorado",2000,-0.2233333333333333
"CA, Fresno",2000,0.0983333333333333
"CA, Glenn",2000,-0.085
"CA, Humboldt",2000,-0.43
"CA, Imperial",2000,-3.58
"CA, Inyo",2000,-3.58
"CA, Kern",2000,-1.08
"CA, Kings",2000,0.0983333333333333
"CA, Lake",2000,-0.15
"CA, Lassen",2000,-1.2483333333333333
"CA, Los Angeles",2000,-1.153333333333333
"CA, Madera",2000,0.0983333333333333
"CA, Marin",2000,-0.43
"CA, Mariposa",2000,0.0983333333333333
"CA, Mendocino",2000,-0.43
"CA, Merced",2000,0.0983333333333333
"CA, Modoc",2000,-0.4433333333333333
"CA, Mono",2000,-2.481666666666667
"CA, Monterey",2000,0.765
"CA, Napa",2000,-0.2416666666666666
"CA, Nevada",2000,-0.3741666666666667
"CA, Orange",2000,-0.0616666666666666
"CA, Placer",2000,-0.34
"CA, Plumas",2000,-0.0599999999999999
"CA, Riverside",2000,-2.700833333333333
"CA, Sacramento",2000,0.0
"CA, San Benito",2000,0.605
"CA, San Bernardino",2000,-3.4033333333333338
"CA, San Diego",2000,-1.1175
"CA, San Francisco",2000,0.765
"CA, San Joaquin",2000,0.0983333333333333
"CA, San Luis Obispo",2000,0.5425
"CA, San Mateo",2000,0.765
"CA, Santa Barbara",2000,-0.0616666666666666
"CA, Santa Clara",2000,0.765
"CA, Santa Cruz",2000,0.765
"CA, Shasta",2000,-0.0616666666666666
"CA, Sierra",2000,-0.4266666666666666
"CA, Siskiyou",2000,-0.3633333333333333
"CA, Solano",2000,-0.1608333333333333
"CA, Sonoma",2000,-0.43
"CA, Stanislaus",2000,0.0983333333333333
"CA, Sutter",2000,-0.0599999999999999
"CA, Tehama",2000,-0.0616666666666666
"CA, Trinity",2000,-0.43
"CA, Tulare",2000,0.0983333333333333
"CA, Tuolumne",2000,0.0983333333333333
"CA, Ventura",2000,-0.0591666666666667
"CA, Yolo",2000,-0.0599999999999999
"CA, Yuba",2000,-0.0599999999999999
"CO, Adams",2000,-1.6358333333333333
"CO, Alamosa",2000,-1.54
"CO, Arapahoe",2000,-1.6358333333333333
"CO, Archuleta",2000,-2.6166666666666667
"CO, Baca",2000,-0.8133333333333334
"CO, Bent",2000,-0.8133333333333334
"CO, Boulder",2000,-1.6358333333333333
"CO, Broomfield",2000,-1.6191666666666666
"CO, Chaffee",2000,-0.805
"CO, Cheyenne",2000,-1.0516666666666667
"CO, Clear Creek",2000,-1.6466666666666665
"CO, Conejos",2000,-1.5525
"CO, Costilla",2000,-1.5175
"CO, Crowley",2000,-0.8133333333333334
"CO, Custer",2000,-0.8133333333333334
"CO, Delta",2000,-2.685833333333333
"CO, Denver",2000,-1.6358333333333333
"CO, Dolores",2000,-2.685833333333333
"CO, Douglas",2000,-1.6358333333333333
"CO, Eagle",2000,-2.685833333333333
"CO, Elbert",2000,-1.385
"CO, El Paso",2000,-0.8533333333333334
"CO, Fremont",2000,-0.8133333333333334
"CO, Garfield",2000,-2.685833333333333
FIPS_08047,2000,-1.6358333333333333
"CO, Grand",2000,-2.6750000000000003
"CO, Gunnison",2000,-2.685833333333333
FIPS_08053,2000,-2.3541666666666665
"CO, Huerfano",2000,-0.8133333333333334
FIPS_08057,2000,-1.6466666666666665
"CO, Jefferson",2000,-1.6358333333333333
"CO, Kiowa",2000,-0.8858333333333334
"CO, Kit Carson",2000,-1.3316666666666668
FIPS_08065,2000,-0.84
"CO, La Plata",2000,-2.685833333333333
"CO, Larimer",2000,-1.6358333333333333
"CO, Las Animas",2000,-0.8133333333333334
"CO, Lincoln",2000,-0.9591666666666666
"CO, Logan",2000,-1.5716666666666663
"CO, Mesa",2000,-2.685833333333333
FIPS_08079,2000,-1.8133333333333332
"CO, Moffat",2000,-2.685833333333333
"CO, Montezuma",2000,-2.685833333333333
"CO, Montrose",2000,-2.685833333333333
"CO, Morgan",2000,-1.6358333333333333
"CO, Otero",2000,-0.8133333333333334
"CO, Ouray",2000,-2.685833333333333
"CO, Park",2000,-1.5291666666666668
"CO, Phillips",2000,-1.3316666666666668
"CO, Pitkin",2000,-2.685833333333333
"CO, Prowers",2000,-0.8133333333333334
"CO, Pueblo",2000,-0.8133333333333334
"CO, Rio Blanco",2000,-2.685833333333333
"CO, Rio Grande",2000,-1.5525
"CO, Routt",2000,-2.685833333333333
"CO, Saguache",2000,-1.7933333333333332
FIPS_08111,2000,-2.5708333333333333
"CO, San Miguel",2000,-2.685833333333333
"CO, Sedgwick",2000,-1.4625
"CO, Summit",2000,-2.665833333333333
"CO, Teller",2000,-1.1675
"CO, Washington",2000,-1.4508333333333334
"CO, Weld",2000,-1.6358333333333333
"CO, Yuma",2000,-1.3316666666666668
"CT, Fairfield",2000,0.4416666666666666
"CT, Hartford",2000,0.4833333333333334
"CT, Litchfield",2000,-0.1291666666666666
"CT, Middlesex",2000,0.4966666666666666
"CT, New Haven",2000,0.4308333333333333
"CT, New London",2000,0.48
"CT, Tolland",2000,0.625
