Year,Region,Rate
2010,East North Central,13
2010,East South Central,0.2
2010,Middle Atlantic,29.9
2010,Mountain,0.2
2010,New England,61.3
2010,Pacific,0.5
2010,South Atlantic,14.8
2010,West North Central,6.5
2010,West South Central,0.2
2011,East North Central,13.7
2011,East South Central,0.3
2011,Middle Atlantic,37.8
2011,Mountain,0.3
2011,New England,68.4
2011,Pacific,0.6
2011,South Atlantic,15.7
2011,West North Central,7
2011,West South Central,0.1
2012,East North Central,7
2012,East South Central,0.3
2012,Middle Atlantic,31.7
2012,Mountain,0.3
2012,New England,74.7
2012,Pacific,0.6
2012,South Atlantic,13.7
2012,West North Central,5.4
2012,West South Central,0.1
2013,East North Central,7.9
2013,East South Central,0.4
2013,Middle Atlantic,37
2013,Mountain,0.7
2013,New England,100.3
2013,Pacific,0.7
2013,South Atlantic,12
2013,West North Central,8.2
2013,West South Central,0.1
2014,East North Central,5.9
2014,East South Central,0.7
2014,Middle Atlantic,38.2
2014,Mountain,0.3
2014,New England,80.8
2014,Pacific,0.5
2014,South Atlantic,11.2
2014,West North Central,5.1
2014,West South Central,0
2015,East North Central,8
2015,East South Central,0.5
2015,Middle Atlantic,49.1
2015,Mountain,0.2
2015,New England,77
2015,Pacific,0.5
2015,South Atlantic,14.6
2015,West North Central,7.1
2015,West South Central,0.1
2016,East North Central,9.5
2016,East South Central,0.5
2016,Middle Atlantic,52.8
2016,Mountain,0.5
2016,New England,72.8
2016,Pacific,0.9
2016,South Atlantic,15.6
2016,West North Central,7.7
2016,West South Central,0.1
2017,East North Central,12.3
2017,East South Central,0.5
2017,Middle Atlantic,58.9
2017,Mountain,0.6
2017,New England,97.7
2017,Pacific,0.8
2017,South Atlantic,18.5
2017,West North Central,8.7
2017,West South Central,0.2
2018,East North Central,8.4
2018,East South Central,0.4
2018,Middle Atlantic,47.8
2018,Mountain,0.3
2018,New England,76.6
2018,Pacific,0.7
2018,South Atlantic,15.8
2018,West North Central,6.2
2018,West South Central,0.1
2019,East North Central,10.3
2019,East South Central,0.7
2019,Middle Atlantic,44.3
2019,Mountain,0.5
2019,New England,97.3
2019,Pacific,0.6
2019,South Atlantic,19.1
2019,West North Central,6.4
2019,West South Central,0.2
2020,East North Central,7.7
2020,East South Central,0.4
2020,Middle Atlantic,22.2
2020,Mountain,0.1
2020,New England,35.5
2020,Pacific,0.3
2020,South Atlantic,15.2
2020,West North Central,2.1
2020,West South Central,0.1
2021,East North Central,11.9
2021,East South Central,0.7
2021,Middle Atlantic,25.2
2021,Mountain,0.4
2021,New England,43.5
2021,Pacific,0.5
2021,South Atlantic,17.4
2021,West North Central,7.4
2021,West South Central,0.1
2022,East North Central,20.9
2022,East South Central,0.7
2022,Middle Atlantic,71
2022,Mountain,0.5
2022,New England,135.6
2022,Pacific,0.6
2022,South Atlantic,25.9
2022,West North Central,8.1
2022,West South Central,0.1
2023,East North Central,27.2
2023,East South Central,1.1
2023,Middle Atlantic,105.9
2023,Mountain,0.5
2023,New England,173.1
2023,Pacific,0.6
2023,South Atlantic,33
2023,West North Central,8.8
2023,West South Central,0.2
