location,county_fips,activity,human_cases,neuro_cases,blood_donor_cases,year
"AL, Autauga",1001,Human infections and non-human activity,13.0,9.0,0.0,2024
"AL, Barbour",1005,Human infections and non-human activity,2.0,1.0,0.0,2024
"AL, Bibb",1007,Human infections and non-human activity,3.0,2.0,0.0,2024
"AL, Blount",1009,Human infections and non-human activity,1.0,0.0,0.0,2024
"AL, Bullock",1011,Human infections and non-human activity,1.0,1.0,0.0,2024
"AL, Chambers",1017,Human infections and non-human activity,2.0,2.0,1.0,2024
"AL, Cherokee",1019,Non-human activity,0.0,0.0,0.0,2024
"AL, Chilton",1021,Human infections and non-human activity,4.0,4.0,0.0,2024
"AL, Choctaw",1023,Non-human activity,0.0,0.0,0.0,2024
"AL, Clarke",1025,Non-human activity,0.0,0.0,0.0,2024
"AL, Clay",1027,Non-human activity,0.0,0.0,0.0,2024
"AL, Cleburne",1029,Human infections and non-human activity,1.0,1.0,0.0,2024
"AL, Coffee",1031,Human infections and non-human activity,5.0,2.0,0.0,2024
"AL, Colbert",1033,Human infections and non-human activity,2.0,1.0,0.0,2024
"AL, Conecuh",1035,Human infections and non-human activity,1.0,1.0,0.0,2024
"AL, Coosa",1037,Non-human activity,0.0,0.0,0.0,2024
"AL, Covington",1039,Human infections and non-human activity,1.0,1.0,0.0,2024
"AL, Crenshaw",1041,Human infections and non-human activity,1.0,1.0,0.0,2024
"AL, Dale",1045,Human infections and non-human activity,5.0,2.0,2.0,2024
"AL, Dallas",1047,Human infections and non-human activity,10.0,5.0,0.0,2024
"AL, De Kalb",1049,Non-human activity,0.0,0.0,0.0,2024
"AL, Elmore",1051,Human infections and non-human activity,7.0,5.0,1.0,2024
"AL, Escambia",1053,Human infections and non-human activity,3.0,1.0,1.0,2024
"AL, Etowah",1055,Human infections and non-human activity,5.0,3.0,2.0,2024
"AL, Fayette",1057,Human infections and non-human activity,1.0,1.0,1.0,2024
"AL, Franklin",1059,Human infections and non-human activity,1.0,1.0,0.0,2024
"AL, Geneva",1061,Human infections and non-human activity,9.0,3.0,0.0,2024
"AL, Greene",1063,Non-human activity,0.0,0.0,0.0,2024
"AL, Hale",1065,Non-human activity,0.0,0.0,0.0,2024
"AL, Henry",1067,Human infections and non-human activity,1.0,1.0,0.0,2024
"AL, Jackson",1071,Human infections and non-human activity,2.0,2.0,0.0,2024
"AL, Lamar",1075,Non-human activity,0.0,0.0,0.0,2024
"AL, Lauderdale",1077,Human infections and non-human activity,1.0,1.0,0.0,2024
"AL, Lawrence",1079,Non-human activity,0.0,0.0,0.0,2024
"AL, Lee",1081,Human infections and non-human activity,2.0,1.0,3.0,2024
"AL, Limestone",1083,Human infections and non-human activity,4.0,2.0,0.0,2024
"AL, Lowndes",1085,Non-human activity,0.0,0.0,0.0,2024
"AL, Madison",1089,Human infections and non-human activity,13.0,10.0,5.0,2024
"AL, Marengo",1091,Human infections and non-human activity,3.0,1.0,1.0,2024
"AL, Marion",1093,Human infections and non-human activity,1.0,1.0,0.0,2024
"AL, Marshall",1095,Human infections and non-human activity,3.0,1.0,0.0,2024
"AL, Monroe",1099,Human infections and non-human activity,2.0,1.0,0.0,2024
"AL, Morgan",1103,Human infections and non-human activity,6.0,4.0,0.0,2024
"AL, Pickens",1107,Human infections and non-human activity,2.0,1.0,0.0,2024
"AL, Randolph",1111,Non-human activity,0.0,0.0,0.0,2024
"AL, Russell",1113,Human infections and non-human activity,2.0,1.0,0.0,2024
"AL, St Clair",1115,Human infections and non-human activity,0.0,0.0,1.0,2024
"AL, Shelby",1117,Human infections and non-human activity,12.0,12.0,1.0,2024
"AL, Sumter",1119,Human infections and non-human activity,2.0,1.0,0.0,2024
"AL, Talladega",1121,Human infections and non-human activity,6.0,5.0,0.0,2024
"AL, Tallapoosa",1123,Human infections and non-human activity,1.0,1.0,0.0,2024
"AL, Walker",1127,Human infections and non-human activity,1.0,1.0,0.0,2024
"AL, Washington",1129,Human infections and non-human activity,1.0,0.0,1.0,2024
"AL, Wilcox",1131,Human infections and non-human activity,2.0,2.0,0.0,2024
"AL, Winston",1133,Human infections and non-human activity,1.0,1.0,0.0,2024
"AK, Anchorage Muny",2020,Human infections,1.0,1.0,0.0,2024
AK,2999,Human infections,2.0,1.0,1.0,2024
"AZ, Coconino",4005,Human infections and non-human activity,9.0,5.0,1.0,2024
"AZ, Gila",4007,Human infections and non-human activity,27.0,17.0,2.0,2024
"AZ, Graham",4009,Human infections and non-human activity,30.0,17.0,5.0,2024
"AZ, Greenlee",4011,Human infections and non-human activity,1.0,1.0,0.0,2024
"AZ, La Paz",4012,Human infections and non-human activity,7.0,6.0,0.0,2024
"AZ, Mohave",4015,Human infections and non-human activity,18.0,12.0,2.0,2024
"AZ, Santa Cruz",4023,Human infections and non-human activity,4.0,1.0,0.0,2024
"AZ, Yavapai",4025,Human infections and non-human activity,13.0,8.0,0.0,2024
"AZ, Yuma",4027,Human infections and non-human activity,11.0,7.0,1.0,2024
"AR, Arkansas",5001,Human infections and non-human activity,4.0,4.0,0.0,2024
"AR, Ashley",5003,Human infections and non-human activity,4.0,2.0,0.0,2024
"AR, Baxter",5005,Non-human activity,0.0,0.0,0.0,2024
"AR, Benton",5007,Human infections and non-human activity,9.0,7.0,1.0,2024
"AR, Boone",5009,Human infections and non-human activity,2.0,1.0,0.0,2024
"AR, Bradley",5011,Human infections and non-human activity,18.0,14.0,0.0,2024
"AR, Calhoun",5013,Non-human activity,0.0,0.0,0.0,2024
"AR, Carroll",5015,Human infections and non-human activity,1.0,1.0,0.0,2024
"AR, Chicot",5017,Human infections and non-human activity,2.0,2.0,0.0,2024
"AR, Clark",5019,Human infections and non-human activity,5.0,2.0,0.0,2024
"AR, Clay",5021,Human infections and non-human activity,1.0,1.0,0.0,2024
