FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AL, Autauga",2010 - 2024,All,01001,1 to 4,1 to 4,"AL, NA"
"AL, Baldwin",2010 - 2024,All,01003,1 to 4,1 to 4,"AL, NA"
"AL, Chilton",2010 - 2024,All,01021,1 to 4,1 to 4,"AL, NA"
"AL, Elmore",2010 - 2024,All,01051,1 to 4,1 to 4,"AL, NA"
"AL, Franklin",2010 - 2024,All,01059,1 to 4,1 to 4,"AL, NA"
"AL, Houston",2010 - 2024,All,01069,1 to 4,1 to 4,"AL, NA"
"AL, Lauderdale",2010 - 2024,All,01077,1 to 4,1 to 4,"AL, NA"
"AL, Lawrence",2010 - 2024,All,01079,1 to 4,1 to 4,"AL, NA"
"AL, Marshall",2010 - 2024,All,01095,1 to 4,1 to 4,"AL, NA"
"AL, Mobile",2010 - 2024,All,01097,1 to 4,1 to 4,"AL, NA"
"AL, Morgan",2010 - 2024,All,01103,1 to 4,1 to 4,"AL, NA"
"AL, Pike",2010 - 2024,All,01109,1 to 4,1 to 4,"AL, NA"
"AL, Shelby",2010 - 2024,All,01117,1 to 4,1 to 4,"AL, NA"
"AL, Tuscaloosa",2010 - 2024,All,01125,1 to 4,1 to 4,"AL, NA"
"AK, Fairbanks North Star Borough",2010 - 2024,All,02090,1 to 4,1 to 4,"AK, NA"
"AK, Matanuska-Susitna Borough",2010 - 2024,All,02170,1 to 4,1 to 4,"AK, NA"
"AZ, Cochise",2010 - 2024,All,04003,1 to 4,1 to 4,"AZ, NA"
"AZ, Gila",2010 - 2024,All,04007,1 to 4,1 to 4,"AZ, NA"
"AZ, La Paz",2010 - 2024,All,04012,1 to 4,1 to 4,"AZ, NA"
"AZ, Mohave",2010 - 2024,All,04015,1 to 4,1 to 4,"AZ, NA"
"AZ, Santa Cruz",2010 - 2024,All,04023,1 to 4,1 to 4,"AZ, NA"
"AZ, Yavapai",2010 - 2024,All,04025,1 to 4,1 to 4,"AZ, NA"
"AR, Chicot",2010 - 2024,All,05017,1 to 4,1 to 4,"AR, NA"
"AR, Clark",2010 - 2024,All,05019,1 to 4,1 to 4,"AR, NA"
"AR, Crawford",2010 - 2024,All,05033,1 to 4,1 to 4,"AR, NA"
"AR, Greene",2010 - 2024,All,05055,1 to 4,1 to 4,"AR, NA"
