City,Region,Country,AirQuality,WaterPollution
New York City,New York,United States of America,46.81603774,49.5049505
"Washington, D.C.",District of Columbia,United States of America,66.12903226,49.10714286
San Francisco,California,United States of America,60.51401869,43.0
Los Angeles,California,United States of America,36.62162162,61.29943503
Alexandria,Virginia,United States of America,89.0625,46.15384615
Boston,Massachusetts,United States of America,78.23529412,32.91139241
Saginaw,Michigan,United States of America,85.0,70.0
San Antonio,Texas,United States of America,63.41463415,50.67567568
Chicago,Illinois,United States of America,57.43243243,53.62068966
Pittsburgh,Pennsylvania,United States of America,58.92857143,59.61538462
Philadelphia,Pennsylvania,United States of America,54.28571429,55.64516129
Seattle,Washington,United States of America,79.37062937,36.94852941
Baltimore,Maryland,United States of America,62.5,64.13043478
Huntington Beach,California,United States of America,85.71428571,65.625
Portland,Oregon,United States of America,74.12280702,36.34259259
Indianapolis,Indiana,United States of America,67.44186047,50.65789474
Miami,Florida,United States of America,70.2020202,47.36842105
Detroit,Michigan,United States of America,51.2195122,52.08333333
San Diego,California,United States of America,74.38271605,52.36486486
San Jose,California,United States of America,62.20930233,41.25
Denver,Colorado,United States of America,53.1779661,36.83035714
Houston,Texas,United States of America,45.86092715,57.09459459
Phoenix,Arizona,United States of America,44.29347826,47.64705882
Dallas,Texas,United States of America,63.38028169,42.69230769
Fort Worth,Texas,United States of America,47.72727273,51.13636364
Austin,Texas,United States of America,68.57142857,43.5
El Paso,Texas,United States of America,63.75,44.64285714
Memphis,Tennessee,United States of America,66.30434783,48.68421053
Charlotte,North Carolina,United States of America,76.875,31.57894737
Columbus,Ohio,United States of America,87.5,62.5
Jacksonville,Florida,United States of America,75.65789474,66.21621622
Long Beach,California,United States of America,50.0,32.69230769
Laredo,Texas,United States of America,0.0,100.0
Oakland,California,United States of America,72.14285714,33.33333333
Sacramento,California,United States of America,55.09259259,39.89361702
Honolulu,Hawaii,United States of America,74.58333333,41.51785714
Providence,Rhode Island,United States of America,76.47058824,59.61538462
Brooklyn,New York,United States of America,52.08333333,33.65384615
Tucson,Arizona,United States of America,84.27419355,39.65517241
Aurora,Illinois,United States of America,75.0,25.0
Nashville,Tennessee,United States of America,70.0,42.94871795
Salt Lake City,Utah,United States of America,23.13432836,41.66666667
Atlanta,Georgia,United States of America,59.6875,46.57534247
Las Vegas,Nevada,United States of America,51.72413793,49.69135802
Albany,New York,United States of America,87.5,31.25
Harrisburg,Pennsylvania,United States of America,82.5,37.5
Trenton,New Jersey,United States of America,85.0,100.0
Newark,New Jersey,United States of America,50.0,62.5
Jersey City,New Jersey,United States of America,58.33333333,60.0
Keller,Texas,United States of America,66.66666667,25.0
Davenport,Iowa,United States of America,86.36363636,53.57142857
Jackson,Mississippi,United States of America,85.41666667,28.57142857
Augusta,Maine,United States of America,50.0,100.0
Baton Rouge,Louisiana,United States of America,64.58333333,40.625
Lansing,Michigan,United States of America,92.85714286,41.66666667
Concord,New Hampshire,United States of America,91.66666667,15.0
Lincoln,Nebraska,United States of America,86.66666667,27.5
Annapolis,Maryland,United States of America,86.53846154,47.22222222
Springfield,Illinois,United States of America,90.625,62.5
Saint Paul,Minnesota,United States of America,88.54166667,30.0
Montgomery,Alabama,United States of America,70.83333333,56.25
Boca Raton,Florida,United States of America,94.23076923,34.61538462
Juneau,Alaska,United States of America,100.0,25.0
Burlington,Vermont,United States of America,100.0,30.0
Allen,Texas,United States of America,75.0,12.5
Las Cruces,New Mexico,United States of America,82.8125,33.33333333
Little Rock,Arkansas,United States of America,89.28571429,22.05882353
Hartford,Connecticut,United States of America,65.38461538,50.0
Dover,Delaware,United States of America,100.0,50.0
Fargo,North Dakota,United States of America,100.0,0.0
Grand Forks,North Dakota,United States of America,87.5,37.5
New Orleans,Louisiana,United States of America,65.13157895,72.85714286
Dayton,Ohio,United States of America,82.8125,33.33333333
Albuquerque,New Mexico,United States of America,83.33333333,39.70588235
Oklahoma City,Oklahoma,United States of America,88.33333333,31.73076923
Boise,Idaho,United States of America,68.93939394,32.5
Minneapolis,Minnesota,United States of America,79.51388889,33.57142857
Tallahassee,Florida,United States of America,92.1875,41.66666667
Bismarck,North Dakota,United States of America,95.83333333,50.0
Cleveland,Ohio,United States of America,66.66666667,54.54545455
Milwaukee,Wisconsin,United States of America,79.06976744,43.29268293
Columbia,South Carolina,United States of America,66.07142857,52.27272727
Santa Fe,New Mexico,United States of America,89.28571429,38.63636364
Helena,Montana,United States of America,100.0,50.0
Cheyenne,Wyoming,United States of America,92.85714286,0.0
Anchorage,Alaska,United States of America,90.0,18.75
Des Moines,Iowa,United States of America,82.5,38.33333333
Springfield,Oregon,United States of America,25.0,50.0
Norman,Oklahoma,United States of America,100.0,25.0
Buffalo,New York,United States of America,77.08333333,36.95652174
Carson City,Nevada,United States of America,100.0,50.0
Topeka,Kansas,United States of America,81.25,56.25
Raleigh,North Carolina,United States of America,84.44444444,31.25
Kansas City,Missouri,United States of America,76.74418605,44.51219512
Olympia,Washington,United States of America,87.5,18.75
Cincinnati,Ohio,United States of America,57.57575758,43.10344828
Omaha,Nebraska,United States of America,78.57142857,32.35294118
Fresno,California,United States of America,21.25,78.125
Richmond,Virginia,United States of America,73.17073171,27.63157895
Louisville,Kentucky,United States of America,56.06060606,38.79310345
Madison,Wisconsin,United States of America,86.76470588,40.32258065
Salem,Oregon,United States of America,87.5,17.85714286
Ketchikan,Alaska,United States of America,100.0,50.0
Charleston,West Virginia,United States of America,95.0,50.0
Tulsa,Oklahoma,United States of America,75.0,38.63636364
Santa Monica,California,United States of America,66.66666667,54.16666667
Palo Alto,California,United States of America,56.25,50.0
Green Bay,Wisconsin,United States of America,63.88888889,50.0
Charleston,South Carolina,United States of America,75.0,57.69230769
Dover,New Hampshire,United States of America,100.0,50.0
Nashua,New Hampshire,United States of America,87.5,0.0
Manchester,New Hampshire,United States of America,76.92307692,38.88888889
Oak Ridge,Tennessee,United States of America,87.5,50.0
San Luis Obispo,California,United States of America,92.5,45.83333333
Cambridge,Massachusetts,United States of America,91.66666667,21.875
West Hartford,Connecticut,United States of America,91.66666667,6.25
New Haven,Connecticut,United States of America,81.81818182,37.5
New Bedford,Massachusetts,United States of America,25.0,75.0
Stamford,Connecticut,United States of America,50.0,54.16666667
Bridgeport,Connecticut,United States of America,79.16666667,66.66666667
Waterbury,Connecticut,United States of America,80.0,0.0
Worcester,Massachusetts,United States of America,91.66666667,75.0
Pittsfield,Massachusetts,United States of America,89.28571429,100.0
Fall River,Massachusetts,United States of America,100.0,50.0
Newton,Massachusetts,United States of America,75.0,50.0
Danbury,Connecticut,United States of America,75.0,0.0
Somerville,Massachusetts,United States of America,100.0,12.5
Portland,Maine,United States of America,82.14285714,42.85714286
Rochester,New York,United States of America,64.70588235,47.91666667
Irvine,California,United States of America,63.15789474,33.33333333
Fremont,California,United States of America,79.16666667,15.0
Scottsdale,Arizona,United States of America,68.75,28.84615385
Reno,Nevada,United States of America,70.93023256,28.84615385
Winston-Salem,North Carolina,United States of America,94.44444444,5.0
Durham,North Carolina,United States of America,75.0,39.58333333
Norfolk,Virginia,United States of America,100.0,75.0
Orlando,Florida,United States of America,75.73529412,48.38709677
Greensboro,North Carolina,United States of America,76.66666667,31.81818182
Toledo,Ohio,United States of America,75.0,75.0
Stockton,California,United States of America,44.23076923,71.875
Lexington,Kentucky,United States of America,89.28571429,40.0
Corpus Christi,Texas,United States of America,70.0,68.18181818
Riverside,California,United States of America,45.83333333,53.33333333
Santa Ana,California,United States of America,50.0,55.0
Aurora,Colorado,United States of America,45.83333333,33.33333333
Anaheim,California,United States of America,55.76923077,33.33333333
Tampa,Florida,United States of America,79.78723404,45.93023256
Bakersfield,California,United States of America,16.66666667,68.47826087
Colorado Springs,Colorado,United States of America,79.41176471,38.39285714
Virginia Beach,Virginia,United States of America,85.52631579,36.66666667
Mesa,Arizona,United States of America,68.75,31.25
Wichita,Kansas,United States of America,86.36363636,33.82352941
Henderson,Nevada,United States of America,67.85714286,35.0
Fort Wayne,Indiana,United States of America,66.66666667,43.75
Chula Vista,California,United States of America,37.5,75.0
Chandler,Arizona,United States of America,65.0,45.0
Lubbock,Texas,United States of America,69.64285714,34.09090909
Garland,Texas,United States of America,75.0,50.0
Garden Grove,California,United States of America,75.0,0.0
Gilbert,Arizona,United States of America,75.0,0.0
Tempe,Arizona,United States of America,68.18181818,46.42857143
Peoria,Arizona,United States of America,65.0,15.0
Surprise,Arizona,United States of America,100.0,0.0
Plano,Texas,United States of America,78.57142857,32.14285714
Irving,Texas,United States of America,62.5,37.5
Amarillo,Texas,United States of America,53.125,53.125
Brownsville,Texas,United States of America,57.14285714,68.75
Mesquite,Texas,United States of America,50.0,75.0
McKinney,Texas,United States of America,87.5,18.75
McAllen,Texas,United States of America,87.5,35.71428571
Orem,Utah,United States of America,65.625,33.33333333
Ogden,Utah,United States of America,80.55555556,0.0
Haverhill,Massachusetts,United States of America,100.0,50.0
Beverly,Massachusetts,United States of America,100.0,0.0
Medford,Massachusetts,United States of America,100.0,0.0
Woburn,Massachusetts,United States of America,87.5,50.0
Norwalk,Connecticut,United States of America,75.0,30.0
East Providence,Rhode Island,United States of America,100.0,50.0
Woonsocket,Rhode Island,United States of America,80.0,100.0
Venice,Florida,United States of America,91.66666667,16.66666667
Columbia,Missouri,United States of America,96.42857143,25.0
Napa,California,United States of America,92.85714286,37.5
Jonesboro,Arkansas,United States of America,50.0,50.0
Marion,Arkansas,United States of America,0.0,75.0
Cabot,Arkansas,United States of America,75.0,25.0
Russellville,Arkansas,United States of America,93.75,50.0
Bullhead City,Arizona,United States of America,100.0,50.0
Texarkana,Arkansas,United States of America,87.5,50.0
Rogers,Arkansas,United States of America,87.5,12.5
Dothan,Alabama,United States of America,100.0,62.5
Fort Smith,Arkansas,United States of America,95.0,25.0
Tuscaloosa,Alabama,United States of America,86.11111111,40.0
Fairbanks,Alaska,United States of America,68.18181818,10.0
Van Buren,Arkansas,United States of America,100.0,50.0
Kingman,Arizona,United States of America,100.0,75.0
Florence,Alabama,United States of America,100.0,50.0
Yuma,Arizona,United States of America,77.77777778,45.0
Flagstaff,Arizona,United States of America,100.0,18.75
Palmer,Alaska,United States of America,95.0,0.0
Huntsville,Alabama,United States of America,95.0,25.0
Mobile,Alabama,United States of America,75.0,57.14285714
Maricopa,Arizona,United States of America,100.0,50.0
Murfreesboro,Arkansas,United States of America,87.5,37.5
Sierra Vista,Arizona,United States of America,75.0,30.0
Seward,Alaska,United States of America,100.0,0.0
Hot Springs,Arkansas,United States of America,100.0,0.0
Prescott,Arizona,United States of America,96.42857143,25.0
Wasilla,Alaska,United States of America,96.42857143,33.33333333
Kodiak,Alaska,United States of America,100.0,25.0
Shreveport,Louisiana,United States of America,78.125,91.66666667
Gresham,Oregon,United States of America,100.0,0.0
Beaverton,Oregon,United States of America,81.25,6.25
Savannah,Georgia,United States of America,64.0625,52.08333333
Sugar Land,Texas,United States of America,87.5,37.5
Greeley,Colorado,United States of America,95.0,0.0
Waukesha,Wisconsin,United States of America,87.5,50.0
Appleton,Wisconsin,United States of America,89.28571429,25.0
Eau Claire,Wisconsin,United States of America,96.42857143,33.33333333
Charlottesville,Virginia,United States of America,100.0,58.33333333
Beverly Hills,California,United States of America,100.0,0.0
Yonkers,New York,United States of America,100.0,50.0
Niagara Falls,New York,United States of America,100.0,50.0
Waco,Texas,United States of America,81.25,68.75
Frisco,Texas,United States of America,87.5,29.16666667
Beaumont,Texas,United States of America,70.83333333,87.5
Denton,Texas,United States of America,62.5,37.5
Midland,Texas,United States of America,75.0,100.0
Round Rock,Texas,United States of America,75.0,0.0
Wichita Falls,Texas,United States of America,62.5,43.75
Odessa,Texas,United States of America,100.0,50.0
Lafayette,Louisiana,United States of America,92.85714286,0.0
Oyster Bay,New York,United States of America,100.0,25.0
Roy,Utah,United States of America,100.0,50.0
Sioux Falls,South Dakota,United States of America,81.81818182,32.14285714
Hanover,New Hampshire,United States of America,100.0,50.0
Springfield,Missouri,United States of America,84.72222222,42.30769231
Galveston,Texas,United States of America,85.71428571,50.0
Abingdon,Virginia,United States of America,100.0,50.0
Camden,New Jersey,United States of America,87.5,50.0
