State,City,Year,Month,AvgTemperature
Additional Territories,San Juan Puerto Rico,1995,1,77.49032258064516
Additional Territories,San Juan Puerto Rico,1995,2,77.35000000000001
Additional Territories,San Juan Puerto Rico,1995,3,76.99354838709678
Additional Territories,San Juan Puerto Rico,1995,4,79.95
Additional Territories,San Juan Puerto Rico,1995,5,80.91290322580646
Additional Territories,San Juan Puerto Rico,1995,6,82.6
Additional Territories,San Juan Puerto Rico,1995,7,83.85161290322581
Additional Territories,San Juan Puerto Rico,1995,8,83.7290322580645
Additional Territories,San Juan Puerto Rico,1995,9,83.86
Additional Territories,San Juan Puerto Rico,1995,10,81.16774193548386
Additional Territories,San Juan Puerto Rico,1995,11,80.23333333333333
Additional Territories,San Juan Puerto Rico,1995,12,79.11290322580645
Additional Territories,San Juan Puerto Rico,1996,1,77.51935483870967
Additional Territories,San Juan Puerto Rico,1996,2,77.09310344827585
Additional Territories,San Juan Puerto Rico,1996,3,78.31612903225808
Additional Territories,San Juan Puerto Rico,1996,4,78.55333333333333
Additional Territories,San Juan Puerto Rico,1996,5,78.09375
Additional Territories,San Juan Puerto Rico,1996,6,81.73333333333333
Additional Territories,San Juan Puerto Rico,1996,9,81.11333333333333
Additional Territories,San Juan Puerto Rico,1996,10,80.36666666666666
Additional Territories,San Juan Puerto Rico,1996,11,77.60000000000001
Additional Territories,San Juan Puerto Rico,1996,12,75.91379310344827
Additional Territories,San Juan Puerto Rico,1997,1,75.71153846153847
Additional Territories,San Juan Puerto Rico,1997,2,74.94800000000001
Additional Territories,San Juan Puerto Rico,1997,3,75.87586206896552
Additional Territories,San Juan Puerto Rico,1997,4,78.96785714285714
Additional Territories,San Juan Puerto Rico,1997,5,80.484
Additional Territories,San Juan Puerto Rico,1997,6,82.49642857142858
Additional Territories,San Juan Puerto Rico,1997,7,82.10740740740741
Additional Territories,San Juan Puerto Rico,1997,8,81.89999999999999
Additional Territories,San Juan Puerto Rico,1997,9,82.63214285714285
Additional Territories,San Juan Puerto Rico,1997,10,81.72222222222223
Additional Territories,San Juan Puerto Rico,1997,11,80.044
Additional Territories,San Juan Puerto Rico,1997,12,79.38148148148149
Additional Territories,San Juan Puerto Rico,1998,1,77.46666666666667
Additional Territories,San Juan Puerto Rico,1998,2,77.95
Additional Territories,San Juan Puerto Rico,1998,3,77.18333333333334
Additional Territories,San Juan Puerto Rico,1998,4,78.63571428571429
Additional Territories,San Juan Puerto Rico,1998,5,80.72758620689655
Additional Territories,San Juan Puerto Rico,1998,6,82.40333333333334
Additional Territories,San Juan Puerto Rico,1998,7,81.99615384615385
Additional Territories,San Juan Puerto Rico,1998,8,82.50434782608696
Additional Territories,San Juan Puerto Rico,1998,9,82.01851851851852
Additional Territories,San Juan Puerto Rico,1998,10,81.875
Additional Territories,San Juan Puerto Rico,1998,11,79.12173913043478
Additional Territories,San Juan Puerto Rico,1998,12,78.056
Additional Territories,San Juan Puerto Rico,1999,1,76.06428571428572
Additional Territories,San Juan Puerto Rico,1999,2,74.29166666666667
Additional Territories,San Juan Puerto Rico,1999,3,76.68214285714285
Additional Territories,San Juan Puerto Rico,1999,4,78.80434782608695
Additional Territories,San Juan Puerto Rico,1999,5,81.47777777777777
Additional Territories,San Juan Puerto Rico,1999,6,81.4074074074074
Additional Territories,San Juan Puerto Rico,1999,7,81.00689655172413
Additional Territories,San Juan Puerto Rico,1999,8,81.88620689655171
Additional Territories,San Juan Puerto Rico,1999,9,82.325
Additional Territories,San Juan Puerto Rico,1999,10,80.69
Additional Territories,San Juan Puerto Rico,1999,11,78.63793103448276
Additional Territories,San Juan Puerto Rico,1999,12,76.18846153846154
