year,temp_anomaly
1940,-0.94251114
1941,-0.891257515
1942,-1.022077415
1943,-0.8993568000000001
1944,-0.76269945
1945,-1.03818805
1946,-0.79587882
1947,-1.00054793
1948,-0.8238386000000001
1949,-0.68693975
1950,-0.9724280999999999
1951,-0.8497059
1952,-0.440961685
1953,-0.18554590999999998
1954,-0.458420425
1955,-0.91892755
1956,-0.8126859
1957,-0.5129781999999999
1958,-0.325536655
1959,-0.539741435
1960,-0.5245297325499999
1961,-0.7436855
1962,-0.601679105
1963,-0.41912301
1964,-0.765307615
1965,-0.836066985
1966,-0.746587245
1967,-0.674745325
1968,-0.817080885
1969,-0.428761765
1970,-0.63823155
1971,-0.9239590499999999
1972,-0.9280692749999999
1973,-0.57230633
1974,-0.89016805
1975,-1.020372525
1976,-0.95496165
1977,-0.40024221000000004
1978,-0.61697122
1979,-0.7152798100000001
1980,-0.280027272
1981,-0.004504625999999999
1982,-0.8464481
1983,-0.41392522
1984,-0.78009185
1985,-0.8893193500000001
1986,-0.371329835
1987,-0.0076130174999999994
1988,-0.26363865000000003
1989,-0.688251115
1990,-0.192808045
1991,-0.23861853
1992,-0.45340841499999995
1993,-0.48523271
1994,-0.30527417
1995,-0.1345710165
1996,-0.6832228
1997,-0.371652147
1998,0.31992752999999996
1999,-0.19012991499999998
2000,-0.25972649999999997
2001,-0.0627885475
2002,0.010629364
2003,0.038441425
2004,-0.081892295
2005,0.246594045
2006,0.27188854500000004
2007,0.210415345
2008,-0.45008789000000005
2009,-0.29373987
2010,0.195202838
2011,-0.045232313999999996
2012,0.42357122199999997
2013,-0.247367115
2014,-0.0973027985
2015,0.47349509500000003
2016,0.7645319500000001
2017,0.506388955
2018,0.188977595
2019,0.23173552
2020,0.518452975
2021,0.39280578499999996
2022,0.14630641849999998
2023,0.6740459649999999
