location,travel_status,cases,years_combined,disease,level
MH,All,1,2010 - 2024,Dengue,jurisdiction
MP,All,4,2010 - 2024,Dengue,jurisdiction
AK,All,24,2010 - 2024,Dengue,jurisdiction
AR,All,41,2010 - 2024,Dengue,jurisdiction
DE,All,27,2010 - 2024,Dengue,jurisdiction
GU,All,33,2010 - 2024,Dengue,jurisdiction
ID,All,30,2010 - 2024,Dengue,jurisdiction
KS,All,44,2010 - 2024,Dengue,jurisdiction
KY,All,48,2010 - 2024,Dengue,jurisdiction
ME,All,23,2010 - 2024,Dengue,jurisdiction
MS,All,13,2010 - 2024,Dengue,jurisdiction
MT,All,29,2010 - 2024,Dengue,jurisdiction
ND,All,6,2010 - 2024,Dengue,jurisdiction
NE,All,47,2010 - 2024,Dengue,jurisdiction
NH,All,29,2010 - 2024,Dengue,jurisdiction
NM,All,33,2010 - 2024,Dengue,jurisdiction
OK,All,35,2010 - 2024,Dengue,jurisdiction
SD,All,21,2010 - 2024,Dengue,jurisdiction
VT,All,40,2010 - 2024,Dengue,jurisdiction
WV,All,14,2010 - 2024,Dengue,jurisdiction
WY,All,9,2010 - 2024,Dengue,jurisdiction
AL,All,56,2010 - 2024,Dengue,jurisdiction
CO,All,183,2010 - 2024,Dengue,jurisdiction
CT,All,146,2010 - 2024,Dengue,jurisdiction
DC,All,65,2010 - 2024,Dengue,jurisdiction
FM,All,58,2010 - 2024,Dengue,jurisdiction
GA,All,176,2010 - 2024,Dengue,jurisdiction
IA,All,69,2010 - 2024,Dengue,jurisdiction
IN,All,111,2010 - 2024,Dengue,jurisdiction
LA,All,85,2010 - 2024,Dengue,jurisdiction
MD,All,225,2010 - 2024,Dengue,jurisdiction
MI,All,194,2010 - 2024,Dengue,jurisdiction
MN,All,225,2010 - 2024,Dengue,jurisdiction
MO,All,72,2010 - 2024,Dengue,jurisdiction
NC,All,220,2010 - 2024,Dengue,jurisdiction
NV,All,56,2010 - 2024,Dengue,jurisdiction
OH,All,141,2010 - 2024,Dengue,jurisdiction
OR,All,107,2010 - 2024,Dengue,jurisdiction
PW,All,72,2010 - 2024,Dengue,jurisdiction
RI,All,70,2010 - 2024,Dengue,jurisdiction
SC,All,85,2010 - 2024,Dengue,jurisdiction
TN,All,96,2010 - 2024,Dengue,jurisdiction
UT,All,72,2010 - 2024,Dengue,jurisdiction
WI,All,168,2010 - 2024,Dengue,jurisdiction
AS,All,661,2010 - 2024,Dengue,jurisdiction
AZ,All,297,2010 - 2024,Dengue,jurisdiction
CA,All,2405,2010 - 2024,Dengue,jurisdiction
FL,All,4247,2010 - 2024,Dengue,jurisdiction
HI,All,395,2010 - 2024,Dengue,jurisdiction
IL,All,440,2010 - 2024,Dengue,jurisdiction
MA,All,328,2010 - 2024,Dengue,jurisdiction
NJ,All,617,2010 - 2024,Dengue,jurisdiction
NY,All,1810,2010 - 2024,Dengue,jurisdiction
PA,All,317,2010 - 2024,Dengue,jurisdiction
PR,All,39030,2010 - 2024,Dengue,jurisdiction
TX,All,842,2010 - 2024,Dengue,jurisdiction
VA,All,272,2010 - 2024,Dengue,jurisdiction
VI,All,569,2010 - 2024,Dengue,jurisdiction
WA,All,281,2010 - 2024,Dengue,jurisdiction
