year,disease,metric,value
1972,Malaria,cases,614
1973,Malaria,cases,222
1974,Malaria,cases,323
1975,Malaria,cases,448
1976,Malaria,cases,415
1977,Malaria,cases,481
1978,Malaria,cases,616
1979,Malaria,cases,877
1980,Malaria,cases,"1,864"
1981,Malaria,cases,"1,103"
1982,Malaria,cases,930
1983,Malaria,cases,803
1984,Malaria,cases,"1,016"
1985,Malaria,cases,"1,045"
1986,Malaria,cases,"1,091"
1987,Malaria,cases,932
1988,Malaria,cases,"1,023"
1989,Malaria,cases,"1,102"
1990,Malaria,cases,"1,098"
1991,Malaria,cases,"1,046"
1992,Malaria,cases,910
1993,Malaria,cases,"1,275"
1994,Malaria,cases,"1,014"
1995,Malaria,cases,"1,167"
1996,Malaria,cases,"1,392"
1997,Malaria,cases,"1,544"
1998,Malaria,cases,"1,227"
1999,Malaria,cases,"1,540"
2000,Malaria,cases,"1,402"
2001,Malaria,cases,"1,383"
2002,Malaria,cases,"1,337"
2003,Malaria,cases,"1,278"
2004,Malaria,cases,"1,324"
2005,Malaria,cases,"1,528"
2006,Malaria,cases,"1,564"
2007,Malaria,cases,"1,505"
2008,Malaria,cases,"1,298"
2009,Malaria,cases,"1,484"
2010,Malaria,cases,"1,691"
2011,Malaria,cases,"1,925"
2012,Malaria,cases,"1,687"
2013,Malaria,cases,"1,741"
2014,Malaria,cases,"1,725"
2015,Malaria,cases,"1,524"
2016,Malaria,cases,"2,078"
2017,Malaria,cases,"2,161"
2018,Malaria,cases,"1,823"
2019,Malaria,cases,"2,048"
2020,Malaria,cases,602
2021,Malaria,cases,"1,550"
2022,Malaria,cases,"1,999"
2007,Malaria,deaths,1.0
2008,Malaria,deaths,2.0
2009,Malaria,deaths,4.0
2010,Malaria,deaths,9.0
2011,Malaria,deaths,5.0
2012,Malaria,deaths,6.0
2013,Malaria,deaths,10.0
2014,Malaria,deaths,5.0
2015,Malaria,deaths,11.0
2016,Malaria,deaths,7.0
2017,Malaria,deaths,7.0
2018,Malaria,deaths,7.0
2019,Malaria,deaths,6.0
2020,Malaria,deaths,6.0
2021,Malaria,deaths,9.0
2022,Malaria,deaths,10.0
2007,Malaria,cfr,0.1
2008,Malaria,cfr,0.2
2009,Malaria,cfr,0.3
2010,Malaria,cfr,0.5
2011,Malaria,cfr,0.3
2012,Malaria,cfr,0.4
2013,Malaria,cfr,0.6
2014,Malaria,cfr,0.3
2015,Malaria,cfr,0.7
2016,Malaria,cfr,0.3
2017,Malaria,cfr,0.3
2018,Malaria,cfr,0.4
2019,Malaria,cfr,0.3
2020,Malaria,cfr,1.0
2021,Malaria,cfr,0.6
2022,Malaria,cfr,0.5
2007,Malaria,cases_deathfile,1505.0
2008,Malaria,cases_deathfile,1298.0
2009,Malaria,cases_deathfile,1484.0
2010,Malaria,cases_deathfile,1691.0
2011,Malaria,cases_deathfile,1925.0
2012,Malaria,cases_deathfile,1687.0
2013,Malaria,cases_deathfile,1741.0
2014,Malaria,cases_deathfile,1725.0
2015,Malaria,cases_deathfile,1524.0
2016,Malaria,cases_deathfile,2078.0
2017,Malaria,cases_deathfile,2161.0
2018,Malaria,cases_deathfile,1823.0
2019,Malaria,cases_deathfile,2048.0
2020,Malaria,cases_deathfile,602.0
2021,Malaria,cases_deathfile,1550.0
2022,Malaria,cases_deathfile,1995.0
2014,Malaria,vivax_ovale,320
2015,Malaria,vivax_ovale,243
2016,Malaria,vivax_ovale,350
2017,Malaria,vivax_ovale,335
2018,Malaria,vivax_ovale,268
2019,Malaria,vivax_ovale,194
2020,Malaria,vivax_ovale,92
2021,Malaria,vivax_ovale,106
2022,Malaria,vivax_ovale,203
2014,Malaria,falciparum,1141
2015,Malaria,falciparum,1025
2016,Malaria,falciparum,1419
2017,Malaria,falciparum,1523
2018,Malaria,falciparum,1273
2019,Malaria,falciparum,1533
2020,Malaria,falciparum,389
2021,Malaria,falciparum,1125
2022,Malaria,falciparum,1376
2014,Malaria,mixed_species,62
2015,Malaria,mixed_species,60
2016,Malaria,mixed_species,84
2017,Malaria,mixed_species,77
2018,Malaria,mixed_species,66
2019,Malaria,mixed_species,67
2020,Malaria,mixed_species,23
2021,Malaria,mixed_species,38
2022,Malaria,mixed_species,49
2014,Malaria,unknown_species,202
2015,Malaria,unknown_species,196
2016,Malaria,unknown_species,225
2017,Malaria,unknown_species,226
2018,Malaria,unknown_species,216
2019,Malaria,unknown_species,254
2020,Malaria,unknown_species,98
2021,Malaria,unknown_species,281
2022,Malaria,unknown_species,371
2014,Malaria,total_speciated,1523
2015,Malaria,total_speciated,1328
2016,Malaria,total_speciated,1853
2017,Malaria,total_speciated,1935
2018,Malaria,total_speciated,1607
2019,Malaria,total_speciated,1794
2020,Malaria,total_speciated,504
2021,Malaria,total_speciated,1269
2022,Malaria,total_speciated,1628
2014,Malaria,cases_speciesfile,1725
2015,Malaria,cases_speciesfile,1524
2016,Malaria,cases_speciesfile,2078
2017,Malaria,cases_speciesfile,2161
2018,Malaria,cases_speciesfile,1823
2019,Malaria,cases_speciesfile,2048
2020,Malaria,cases_speciesfile,602
2021,Malaria,cases_speciesfile,1550
2022,Malaria,cases_speciesfile,1999
