State,Year,Week,Neuro_Current,Neuro_52w_Med,Neuro_52w_Max,Neuro_Cum2015,Neuro_Cum2014,NonNeuro_Current,NonNeuro_52w_Med,NonNeuro_52w_Max,NonNeuro_Cum2015,NonNeuro_Cum2014,Latitude,Longitude
COLORADO,2015,29,0.0,0.0,11.0,1.0,1.0,0.0,0.0,17.0,0.0,6.0,38.843843,-106.133609
NEW MEXICO,2015,29,0.0,0.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,34.520881,-106.240578
NEBRASKA,2015,29,0.0,0.0,10.0,0.0,2.0,0.0,0.0,19.0,1.0,9.0,41.641044,-99.365719
OKLAHOMA,2015,29,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,35.472031,-97.521068
W.N. CENTRAL,2015,29,0.0,0.0,16.0,0.0,5.0,0.0,0.0,32.0,5.0,36.0,0.0,0.0
DELAWARE,2015,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,39.008834,-75.577736
MOUNTAIN,2015,29,0.0,0.0,22.0,4.0,18.0,0.0,0.0,23.0,1.0,7.0,0.0,0.0
SOUTH DAKOTA,2015,29,0.0,0.0,3.0,0.0,1.0,0.0,0.0,11.0,2.0,14.0,44.35313,-100.373529
MISSISSIPPI,2015,29,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,32.745513,-89.538027
LOUISIANA,2015,29,0.0,0.0,8.0,2.0,9.0,0.0,0.0,11.0,0.0,6.0,31.312663,-92.445678
NORTH DAKOTA,2015,32,0.0,0.0,3.0,1.0,5.0,0.0,0.0,3.0,3.0,4.0,47.475879,-100.121011
PENNSYLVANIA,2015,32,0.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,40.789676,-77.858055
DIST. OF COL.,2015,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ALABAMA,2015,32,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,32.839182,-86.631125
ARKANSAS,2015,32,0.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,34.748745,-92.275105
NEW MEXICO,2015,32,0.0,0.0,5.0,2.0,2.0,0.0,0.0,4.0,0.0,1.0,34.520396,-106.244402
NEBRASKA,2015,32,0.0,0.0,10.0,1.0,3.0,0.0,0.0,19.0,10.0,23.0,41.640503,-99.367122
TEXAS,2015,32,0.0,1.0,30.0,23.0,83.0,0.0,0.0,21.0,4.0,34.0,31.827233,-99.423022
CALIFORNIA,2015,32,0.0,0.0,56.0,24.0,127.0,0.0,0.0,26.0,12.0,79.0,37.640735,-121.002435
TENNESSEE,2015,32,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,35.681402,-85.774444
UNITED STATES,2015,22,0.0,1.0,135.0,2.0,4.0,0.0,1.0,106.0,1.0,5.0,0.0,0.0
OKLAHOMA,2015,22,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,35.472031,-97.521068
MOUNTAIN,2015,22,0.0,0.0,22.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
TEXAS,2015,22,0.0,0.0,30.0,1.0,1.0,0.0,0.0,21.0,0.0,0.0,31.82724,-99.426768
W.S. CENTRAL,2015,22,0.0,0.0,38.0,1.0,1.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0
NEW MEXICO,2015,22,0.0,0.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,34.520881,-106.240578
