Year,temp_anomaly
1940,-1.5468961
1940,-0.33812618
1941,-1.5758128
1941,-0.20670223
1942,-1.7430797
1942,-0.30107513
1943,-1.2132984
1943,-0.5854152
1944,-1.1014395
1944,-0.4239594
1945,-1.5019447
1945,-0.5744314
1946,-1.2127708
1946,-0.37898684
1947,-1.7402707
1947,-0.26082516
1948,-1.3266283
1948,-0.3210489
1949,-0.8799433
1949,-0.4939362
1950,-1.112007
1950,-0.8328492
1951,-1.3213432
1951,-0.3780686
1952,-0.70693415
1952,-0.17498922
1953,-0.19594222
1953,-0.1751496
1954,-0.37655815
1954,-0.5402827
1955,-1.1993951
1955,-0.63846
1956,-1.0449971
1956,-0.5803747
1957,-0.6009338
1957,-0.4250226
1958,-0.77535456
1958,0.12428125
1959,-0.9238518
1959,-0.15563107
1960,-1.0495487
1960,0.0004892349
1961,-1.1664771
1961,-0.3208939
1962,-0.85562915
1962,-0.34772906
1963,-0.72591686
1963,-0.11232916
1964,-1.2411239
1964,-0.28949133
1965,-1.1548696
1965,-0.51726437
1966,-1.262076
1966,-0.23109849
1967,-0.90494967
1967,-0.44454098
1968,-1.2223992
1968,-0.41176257
1969,-0.9917179
1969,0.13419437
1970,-1.0517733
1970,-0.2246898
1971,-1.3000139
1971,-0.5479042
1972,-1.3525969
1972,-0.50354165
1973,-0.7825556
1973,-0.36205706
1974,-0.8528085
1974,-0.9275276
1975,-1.2760416
1975,-0.76470345
1976,-1.0944564
1976,-0.8154669
1977,-0.45580205
1977,-0.34468237
1978,-0.98485637
1978,-0.24908607
1979,-1.0713992
1979,-0.35916042
1980,-0.57319856
1980,0.013144016
1981,-0.0035524864
1981,-0.0054567656
1982,-1.1875286
1982,-0.5053676
1983,-0.77070993
1983,-0.05714051
1984,-0.9326975
1984,-0.6274862
1985,-1.1133386
1985,-0.6653001
1986,-0.2186865
1986,-0.52397317
1987,-0.102614075
1987,0.08738804
1988,-0.38186708
1988,-0.14541022
1989,-0.79886913
1989,-0.5776331
1990,-0.12463802
1990,-0.26097807
1991,-0.1921684
1991,-0.28506866
1992,-0.6700826
1992,-0.23673423
1993,-0.7977647
1993,-0.17270072
1994,-0.32898378
1994,-0.28156456
1995,-0.30652702
1995,0.037384987
1996,-1.0040783
1996,-0.3623673
1997,-0.7033908
1997,-0.039913494
1998,0.27087116
1998,0.3689839
1999,-0.21258974
1999,-0.16767009
2000,-0.15495677
2000,-0.36449623
2001,-0.056084275
2001,-0.06949282
2002,0.024889207
2002,-0.003630479
2003,-0.047400784
2003,0.124283634
2004,-0.04885905
2004,-0.11492554
2005,0.2618766
2005,0.23131149
2006,0.37391022
2006,0.16986687
2007,0.27230576
2007,0.14852493
2008,-0.6015422
2008,-0.29863358
2009,-0.48505607
2009,-0.10242367
2010,-0.080415554
2010,0.47082123
2011,-0.04216897
2011,-0.048295658
2012,0.79756314
2012,0.049579304
2013,-0.39581516
2013,-0.09891907
2014,-0.14387076
2014,-0.050734837
2015,0.74830693
2015,0.19868326
2016,1.2241162
2016,0.3049477
2017,0.86791223
2017,0.14486568
2018,0.49119988
2018,-0.11324469
2019,0.2577716
2019,0.20569944
2020,0.68103427
2020,0.35587168
2021,0.62702125
2021,0.15859032
2022,0.27505156
2022,0.017561277
2023,0.76155573
2023,0.5865362
