FullGeoName,Year,Location,Total human disease cases,Neuroinvasive disease cases,**Presumptive viremic blood donors
,2024,"DE, Kent",0,0,0
,2024,"DE, New Castle",1,1,4
,2024,"DE, Sussex",1,0,1
,2024,"DC, Washington",4,2,1
,2024,"FL, Alachua",0,0,0
,2024,"FL, Bay",2,2,0
,2024,"FL, Brevard",1,1,0
,2024,"FL, Charlotte",1,1,0
,2024,"FL, Citrus",0,0,1
,2024,"FL, Duval",3,2,3
,2024,"FL, Glades",1,1,0
,2024,"FL, Hernando",0,0,1
,2024,"FL, Highlands",1,1,0
,2024,"FL, Hillsborough",1,0,1
,2024,"FL, Indian River",0,0,0
,2024,"FL, Lake",1,1,0
,2024,"FL, Lee",0,0,0
,2024,"FL, Leon",0,0,0
,2024,"FL, Levy",1,0,0
,2024,"FL, Manatee",0,0,1
,2024,"FL, Marion",2,2,1
,2024,"FL, Martin",1,1,0
,2024,"FL, Miami-Dade",1,1,0
,2024,"FL, Nassau",0,0,0
,2024,"FL, Okeechobee",1,1,0
,2024,"FL, Orange",0,0,1
,2024,"FL, Palm Beach",0,0,0
,2024,"FL, Pasco",1,0,1
,2024,"FL, Pinellas",1,1,0
,2024,"FL, Polk",0,0,1
,2024,"FL, Putnam",0,0,0
,2024,"FL, St Johns",0,0,0
,2024,"FL, St Lucie",0,0,0
,2024,"FL, Santa Rosa",1,1,0
,2024,"FL, Sarasota",0,0,0
,2024,"FL, Seminole",1,1,0
,2024,"FL, Sumter",0,0,0
,2024,"FL, Volusia",0,0,0
,2024,"FL, Walton",1,1,2
,2024,"GA, Appling",1,0,0
,2024,"GA, Bulloch",1,0,2
,2024,"GA, Butts",0,0,1
,2024,"GA, Chatham",1,1,2
,2024,"GA, Cherokee",1,0,2
,2024,"GA, Clayton",0,0,1
,2024,"GA, Cobb",3,3,2
,2024,"GA, Columbia",1,1,0
,2024,"GA, De Kalb",13,9,6
,2024,"GA, Douglas",1,1,0
,2024,"GA, Forsyth",1,1,0
,2024,"GA, Fulton",18,13,4
,2024,"GA, Glynn",1,1,0
,2024,"GA, Gwinnett",1,1,1
,2024,"GA, Hall",1,0,1
,2024,"GA, Henry",1,1,0
,2024,"GA, Houston",2,2,1
,2024,"GA, Jeff Davis",1,1,0
,2024,"GA, Muscogee",1,0,1
,2024,"GA, Pierce",0,0,2
,2024,"GA, Richmond",2,2,0
