year,travel_status,cases
2010.0,Locally acquired,10969
2010.0,Travel associated,642
2011.0,Locally acquired,1552
2011.0,Travel associated,243
2012.0,Locally acquired,6169
2012.0,Travel associated,545
2013.0,Locally acquired,9933
2013.0,Travel associated,794
2014.0,Locally acquired,551
2014.0,Travel associated,667
2015.0,Locally acquired,261
2015.0,Travel associated,751
2016.0,Locally acquired,289
2016.0,Travel associated,919
2017.0,Locally acquired,520
2017.0,Travel associated,451
2018.0,Locally acquired,156
2018.0,Travel associated,483
2019.0,Locally acquired,119
2019.0,Travel associated,1474
2020.0,Locally acquired,983
2020.0,Travel associated,354
2021.0,Locally acquired,609
2021.0,Travel associated,205
2022.0,Locally acquired,1046
2022.0,Travel associated,1494
2023.0,Locally acquired,1462
2023.0,Travel associated,1890
2024.0,Locally acquired,6542
2024.0,Travel associated,3741
